time,protocol,node_id,candidate_parent,energy_ratio,distance_ratio,queue_ratio,link_quality,Q_value,state_value,selection_value,selected_parent,reward,updated_Q_value,decision_mode
0.00000,Traditional RPL,26,18,0.99393,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,26,25,0.98260,0.19152,0.40000,0.60848,,0.80848,0.80848,0,,,traditional
0.00000,Traditional RPL,15,3,0.99365,0.29520,0.00000,0.70480,,0.70480,0.70480,8,,,traditional
0.00000,Traditional RPL,15,8,0.98940,0.15648,0.10000,0.79352,,0.84352,0.84352,8,,,traditional
0.00000,Traditional RPL,15,19,1.00000,0.35008,0.00000,0.64992,,0.64992,0.64992,8,,,traditional
0.00000,Traditional RPL,15,25,0.98260,0.19152,0.40000,0.60848,,0.80848,0.80848,8,,,traditional
0.00000,Traditional RPL,15,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,8,,,traditional
0.00000,Traditional RPL,8,0,1.00000,0.00000,1.00000,0.40000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,8,18,0.99393,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,16,3,0.99365,0.29520,0.00000,0.70480,,0.70480,0.70480,8,,,traditional
0.00000,Traditional RPL,16,8,0.98310,0.15648,0.20000,0.74352,,0.84352,0.84352,8,,,traditional
0.00000,Traditional RPL,16,11,0.99494,0.36440,0.00000,0.63560,,0.63560,0.63560,8,,,traditional
0.00000,Traditional RPL,16,15,0.99511,0.36265,0.00000,0.63735,,0.63735,0.63735,8,,,traditional
0.00000,Traditional RPL,16,19,1.00000,0.35008,0.00000,0.64992,,0.64992,0.64992,8,,,traditional
0.00000,Traditional RPL,16,20,1.00000,0.36989,0.00000,0.63011,,0.63011,0.63011,8,,,traditional
0.00000,Traditional RPL,16,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,8,,,traditional
0.00000,Traditional RPL,8,0,1.00000,0.00000,1.00000,0.35000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,8,18,0.99393,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,17,,,,,,,,,,,,drop
0.00000,Traditional RPL,18,0,1.00000,0.00000,1.00000,0.30000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,19,3,0.99365,0.29520,0.00000,0.70480,,0.70480,0.70480,8,,,traditional
