time,total_energy_consumed,average_remaining_energy,alive_nodes,active_sensors,dead_nodes,generated_packets,delivered_packets,lost_packets,packet_delivery_ratio,average_delay,communication_overhead,parent_changes,current_packet_id,current_source_sensor_id,current_temperature,selected_route_path,last_packet_status
90.0,10.83036761518428,1.638987746160524,30,29,0,570,104,466,0.1824561403508772,26.97638226488838,826,0,RPL-00570,30,27.530106720398532,30 -> 18,lost
91.0,10.83036761518428,1.638987746160524,30,29,0,570,104,466,0.1824561403508772,26.97638226488838,826,0,,,,,
92.0,10.83036761518428,1.638987746160524,30,29,0,570,104,466,0.1824561403508772,26.97638226488838,826,0,,,,,
93.0,10.83036761518428,1.638987746160524,30,29,0,570,104,466,0.1824561403508772,26.97638226488838,826,0,,,,,
94.0,10.83036761518428,1.638987746160524,30,29,0,570,104,466,0.1824561403508772,26.97638226488838,826,0,,,,,
95.0,11.387619401615538,1.6204126866128155,30,29,0,600,110,490,0.18333333333333332,28.32402767468176,869,0,RPL-00600,30,20.94650805548337,30 -> 18 -> 0,lost
96.0,11.387619401615538,1.6204126866128155,30,29,0,600,110,490,0.18333333333333332,28.32402767468176,869,0,,,,,
97.0,11.387619401615538,1.6204126866128155,30,29,0,600,110,490,0.18333333333333332,28.32402767468176,869,0,,,,,
98.0,11.387619401615538,1.6204126866128155,30,29,0,600,110,490,0.18333333333333332,28.32402767468176,869,0,,,,,
99.0,11.387619401615538,1.6204126866128155,30,29,0,600,110,490,0.18333333333333332,28.32402767468176,869,0,,,,,
100.0,11.950413822559128,1.6016528725813624,30,29,0,630,113,517,0.17936507936507937,29.002706815802902,912,0,RPL-00630,30,25.970510689286748,30 -> 18 -> 0,lost
101.0,11.950413822559128,1.6016528725813624,30,29,0,630,113,517,0.17936507936507937,29.002706815802902,912,0,,,,,
102.0,11.950413822559128,1.6016528725813624,30,29,0,630,113,517,0.17936507936507937,29.002706815802902,912,0,,,,,
103.0,11.950413822559128,1.6016528725813624,30,29,0,630,113,517,0.17936507936507937,29.002706815802902,912,0,,,,,
104.0,11.950413822559128,1.6016528725813624,30,29,0,630,113,517,0.17936507936507937,29.002706815802902,912,0,,,,,
105.0,12.467202832303812,1.5844265722565396,30,29,0,660,118,542,0.1787878787878788,30.25961680653471,951,0,RPL-00660,30,30.63998198793869,30 -> 18,lost
106.0,12.467202832303812,1.5844265722565396,30,29,0,660,118,542,0.1787878787878788,30.25961680653471,951,0,,,,,
107.0,12.467202832303812,1.5844265722565396,30,29,0,660,118,542,0.1787878787878788,30.25961680653471,951,0,,,,,
108.0,12.467202832303812,1.5844265722565396,30,29,0,660,118,542,0.1787878787878788,30.25961680653471,951,0,,,,,
109.0,12.467202832303812,1.5844265722565396,30,29,0,660,118,542,0.1787878787878788,30.25961680653471,951,0,,,,,
110.0,13.00432101762916,1.5665226327456947,30,29,0,690,120,570,0.17391304347826086,30.833456526425795,991,0,RPL-00690,30,24.62810723081644,30 -> 18,lost
111.0,13.00432101762916,1.5665226327456947,30,29,0,690,120,570,0.17391304347826086,30.833456526425795,991,0,,,,,
112.0,13.00432101762916,1.5665226327456947,30,29,0,690,120,570,0.17391304347826086,30.833456526425795,991,0,,,,,
113.0,13.00432101762916,1.5665226327456947,30,29,0,690,120,570,0.17391304347826086,30.833456526425795,991,0,,,,,
114.0,13.00432101762916,1.5665226327456947,30,29,0,690,120,570,0.17391304347826086,30.833456526425795,991,0,,,,,
115.0,13.530240769823457,1.548991974339218,30,29,0,720,124,596,0.17222222222222222,31.82866473793868,1031,0,RPL-00720,30,31.642430377581082,30 -> 18,lost
116.0,13.530240769823457,1.548991974339218,30,29,0,720,124,596,0.17222222222222222,31.82866473793868,1031,0,,,,,
117.0,13.530240769823457,1.548991974339218,30,29,0,720,124,596,0.17222222222222222,31.82866473793868,1031,0,,,,,
118.0,13.530240769823457,1.548991974339218,30,29,0,720,124,596,0.17222222222222222,31.82866473793868,1031,0,,,,,
119.0,13.530240769823457,1.548991974339218,30,29,0,720,124,596,0.17222222222222222,31.82866473793868,1031,0,,,,,
