time,total_energy_consumed,average_remaining_energy,alive_nodes,active_sensors,dead_nodes,generated_packets,delivered_packets,lost_packets,packet_delivery_ratio,average_delay,communication_overhead,parent_changes,current_packet_id,current_source_sensor_id,current_temperature,selected_route_path,last_packet_status
24.0,3.067767883127324,1.8977410705624225,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,10,,,,,
25.0,3.670327054071123,1.877655764864296,30,29,0,180,45,135,0.25,11.687356187803228,286,12,RL-00180,30,27.819497192419732,30 -> 18 -> 0,lost
26.0,3.670327054071123,1.877655764864296,30,29,0,180,45,135,0.25,11.687356187803228,286,12,,,,,
27.0,3.670327054071123,1.877655764864296,30,29,0,180,45,135,0.25,11.687356187803228,286,12,,,,,
28.0,3.670327054071123,1.877655764864296,30,29,0,180,45,135,0.25,11.687356187803228,286,12,,,,,
29.0,3.670327054071123,1.877655764864296,30,29,0,180,45,135,0.25,11.687356187803228,286,12,,,,,
30.0,4.2299506891093515,1.859001643696355,30,29,0,210,49,161,0.23333333333333334,12.680421874924265,328,14,RL-00210,30,22.285735186771856,30 -> 18,lost
31.0,4.2299506891093515,1.859001643696355,30,29,0,210,49,161,0.23333333333333334,12.680421874924265,328,14,,,,,
32.0,4.2299506891093515,1.859001643696355,30,29,0,210,49,161,0.23333333333333334,12.680421874924265,328,14,,,,,
33.0,4.2299506891093515,1.859001643696355,30,29,0,210,49,161,0.23333333333333334,12.680421874924265,328,14,,,,,
34.0,4.2299506891093515,1.859001643696355,30,29,0,210,49,161,0.23333333333333334,12.680421874924265,328,14,,,,,
35.0,4.826335500337713,1.839122149988743,30,29,0,240,52,188,0.21666666666666667,13.51678492701134,375,16,RL-00240,30,30.359140091697846,30 -> 18 -> 0,lost
36.0,4.826335500337713,1.839122149988743,30,29,0,240,52,188,0.21666666666666667,13.51678492701134,375,16,,,,,
37.0,4.826335500337713,1.839122149988743,30,29,0,240,52,188,0.21666666666666667,13.51678492701134,375,16,,,,,
38.0,4.826335500337713,1.839122149988743,30,29,0,240,52,188,0.21666666666666667,13.51678492701134,375,16,,,,,
39.0,4.826335500337713,1.839122149988743,30,29,0,240,52,188,0.21666666666666667,13.51678492701134,375,16,,,,,
40.0,5.377629491443926,1.8207456836185358,30,29,0,270,56,214,0.2074074074074074,14.581338581033753,417,19,RL-00270,30,29.144463683676953,30 -> 18 -> 0,delivered
41.0,5.377629491443926,1.8207456836185358,30,29,0,270,56,214,0.2074074074074074,14.581338581033753,417,19,,,,,
42.0,5.377629491443926,1.8207456836185358,30,29,0,270,56,214,0.2074074074074074,14.581338581033753,417,19,,,,,
43.0,5.377629491443926,1.8207456836185358,30,29,0,270,56,214,0.2074074074074074,14.581338581033753,417,19,,,,,
44.0,5.377629491443926,1.8207456836185358,30,29,0,270,56,214,0.2074074074074074,14.581338581033753,417,19,,,,,
45.0,5.936164931968413,1.8021278356010528,30,29,0,300,64,236,0.21333333333333335,16.941036907441813,460,21,RL-00300,30,28.251449134576745,30 -> 18 -> 0,lost
46.0,5.936164931968413,1.8021278356010528,30,29,0,300,64,236,0.21333333333333335,16.941036907441813,460,21,,,,,
47.0,5.936164931968413,1.8021278356010528,30,29,0,300,64,236,0.21333333333333335,16.941036907441813,460,21,,,,,
